Accession_no	 Year	 root-tip dist	 Cluster_no	 NumberofNs	 
EU482713.1	2007	0.011	0	0	
EU482503.1	2007	0.01155	0	0	
EU482502.1	2007	0.01155	0	0	
FJ024439.1	2007	0.0121	0	0	
EU726779.1	2007	0.0121	0	0	
EU677153.1	2007	0.0121	0	0	
FJ024451.1	2007	0.0121	0	0	
EU660418.1	2007	0.0121	0	0	
FJ390381.1	2007	0.0121	0	0	
EU482717.1	2007	0.0121	0	0	
EU677156.1	2007	0.01155	0	0	
EU482492.1	2007	0.01045	0	0	
FJ410198.1	2007	0.01092	0	0	
EU482490.1	2007	0.00872	0	0	
FJ024441.1	2007	0.00928	0	0	
FJ182030.1	2007	0.00927	0	0	
EU482812.1	2006	0.00826	0	0	
EU482522.1	2006	0.00826	0	0	
JN000935.1	2008	0.01296	0	0	
JF937604.1	2008	0.01296	0	0	
GQ199771.1	2006	0.00958	0	0	
EU482524.1	2006	0.01013	0	0	
GQ199812.1	2007	0.01288	0	0	
FJ410282.1	2008	0.01343	0	0	
FJ410277.1	2008	0.01398	0	0	
FJ432725.1	2007	0.01591	0	0	
GU131699.1	2008	0.01504	0	0	
GU131743.1	2008	0.01581	0	0	
JF937601.1	2008	0.01614	0	0	
KF921943.1	2008	0.02108	0	0	
JF937612.1	2008	0.02707	0	0	
HM631851.1	2008	0.02933	0	0	
KF921940.1	2008	0.02777	0	1	
KF921948.1	2008	0.03181	0	0	
FJ547065.1	2007	0.01288	0	0	
FJ410225.1	2007	0.01322	0	0	
GQ199796.1	2007	0.01508	0	0	
FJ882554.1	2007	0.01563	0	0	
FJ410197.1	2007	0.01613	0	0	
FJ410194.1	2007	0.01723	0	0	
FJ461327.1	2007	0.01729	0	0	
FJ410206.1	2007	0.01728	0	0	
FJ432738.1	2007	0.01563	0	0	
FJ898382.1	2007	0.01673	0	0	
FJ410196.1	2007	0.01712	0	0	
JF937600.1	2008	0.01751	0	0	
FJ410275.1	2008	0.01806	0	0	
FJ410265.1	2008	0.01806	0	0	
GU131828.1	2008	0.01888	0	0	
FJ410272.1	2008	0.01888	0	0	
GQ199823.1	2007	0.01998	0	0	
FJ410210.1	2007	0.02053	0	0	
KF921945.1	2008	0.02067	2	0	
FJ882556.1	2007	0.01998	0	0	
HM181962.1	2008	0.02061	0	0	
GU131719.1	2008	0.02061	0	0	
GU131707.1	2008	0.01943	0	0	
GU131691.1	2008	0.01943	0	0	
GQ199827.1	2007	0.01833	0	0	
GU131693.1	2008	0.01888	0	0	
FJ432740.1	2007	0.01888	0	0	
GU131823.1	2008	0.01833	0	0	
FJ410258.1	2008	0.01833	0	0	
GQ199795.1	2007	0.01833	0	0	
GQ199819.1	2007	0.01888	0	0	
FJ461306.1	2007	0.01888	0	0	
GQ199776.1	2007	0.01508	0	0	
GQ199829.1	2007	0.01563	0	0	
GU131694.1	2008	0.01675	0	0	
FJ410263.1	2008	0.01728	0	0	
FJ461325.1	2007	0.01728	0	0	
FJ410270.1	2008	0.01618	0	0	
FJ461341.1	2008	0.01563	0	0	
JF937605.1	2008	0.0163	0	0	
GU131791.1	2008	0.01673	0	0	
HM181967.1	2008	0.01673	0	0	
FJ432727.1	2007	0.01453	0	0	
GU131710.1	2008	0.01435	0	0	
FJ410278.1	2008	0.0149	0	0	
GU131716.1	2008	0.01545	0	0	
FJ461310.1	2008	0.01564	0	0	
FJ898383.1	2007	0.01288	0	0	
GQ199779.1	2007	0.01288	0	0	
FJ410245.1	2008	0.01478	0	0	
GU131704.1	2008	0.01604	0	0	
GQ199815.1	2007	0.01563	0	0	
GQ199802.1	2007	0.01508	0	0	
FJ432748.1	2007	0.01404	0	0	
FJ898380.1	2007	0.01343	0	0	
GQ199778.1	2007	0.01123	0	0	
EU482523.1	2006	0.01068	0	0	
FJ639688.1	2007	0.01483	0	0	
FJ196843.1	2006	0.01641	0	0	
FJ176780.1	2006	0.01458	0	0	
FJ639675.1	2003	0.02491	2	0	
FJ882559.1	2007	0.02901	0	0	
FJ639684.1	2005	0.02667	2	0	
FJ639693.1	2007	0.02902	2	0	
GQ868639.1	2006	0.02912	0	0	
GU131926.1	2006	0.02912	0	0	
GQ868630.1	2006	0.02912	0	0	
GU131890.1	2006	0.02967	0	0	
FJ639687.1	2006	0.02967	0	0	
FJ639696.1	2007	0.02922	0	0	
KF955440.1	2007	0.02933	2	0	
FJ639691.1	2007	0.02907	0	0	
HM181945.1	2007	0.03049	0	0	
HM181939.1	2006	0.02977	0	0	
HM181942.1	2006	0.03107	0	0	
JQ287665.1	2007	0.0328	0	0	
HM181944.1	2007	0.03099	0	0	
HM181951.1	2007	0.03087	0	0	
HQ624983.1	2007	0.03063	0	0	
GQ868618.1	2003	0.0251	0	0	
FJ639674.1	2002	0.02572	0	0	
GQ199840.1	2006	0.02765	0	0	
FJ410279.1	2008	0.03021	0	0	
GU131722.1	2008	0.03076	0	0	
GU131762.1	2008	0.03117	2	0	
GU131751.1	2008	0.0314	0	0	
GQ199800.1	2007	0.0304	2	0	
FJ410252.1	2007	0.03106	0	0	
FJ882529.1	2006	0.02983	0	0	
GU131686.1	2008	0.03093	0	0	
FJ410226.1	2008	0.03148	0	0	
FJ410254.1	2008	0.03203	0	0	
GU131754.1	2008	0.03258	0	0	
GU131781.1	2008	0.03313	0	0	
JF937603.1	2008	0.03368	0	0	
KF921951.1	2008	0.03427	2	0	
GU131744.1	2008	0.03473	0	0	
GU131772.1	2008	0.03478	0	0	
GQ199814.1	2007	0.03089	2	0	
FJ410246.1	2008	0.03098	2	0	
FJ898399.1	2006	0.03078	0	0	
FJ898400.1	2006	0.03092	0	0	
FJ898426.1	2006	0.02902	0	0	
FJ882519.1	2006	0.02957	0	0	
FJ898418.1	2006	0.02957	0	0	
GU131741.1	2008	0.03054	2	0	
FJ182024.1	2007	0.02913	0	0	
FJ182020.1	2007	0.02913	0	0	
FJ024459.1	2007	0.0303	2	0	
FJ182032.1	2007	0.03085	0	0	
EU677175.1	2007	0.0314	0	0	
EU677162.1	2007	0.03195	0	0	
FJ182035.1	2007	0.03195	0	0	
EU677150.1	2007	0.03195	0	0	
FJ906964.1	2007	0.0316	2	0	
GU131692.1	2008	0.03232	2	0	
FJ410242.1	2008	0.03232	2	0	
GU131687.1	2008	0.03287	2	0	
FJ410227.1	2007	0.03287	2	0	
FJ410256.1	2008	0.03333	2	0	
FJ410281.1	2008	0.03333	2	0	
GQ199826.1	2007	0.03177	2	0	
GQ199813.1	2007	0.03232	2	0	
FJ898381.1	2007	0.03232	2	0	
JQ045657.1	2011	0.03349	2	0	
JQ045658.1	2011	0.03349	2	1	
EU482804.1	2006	0.0303	2	0	
EU482532.1	2006	0.03031	2	0	
FJ898402.1	2006	0.02985	2	0	
HE795086.1	2008	0.03235	2	0	
GQ199806.1	2007	0.03148	0	0	
EU660391.1	2006	0.03089	0	0	
FJ898391.1	2005	0.03067	0	0	
FJ882535.1	2006	0.03177	0	0	
EU660396.1	2006	0.03287	0	0	
EU482814.1	2006	0.03287	0	0	
EU482817.1	2006	0.03232	0	0	
GQ199807.1	2007	0.03342	0	0	
FJ882527.1	2006	0.03397	0	0	
FJ882530.1	2006	0.03452	0	0	
FJ882531.1	2006	0.03452	0	0	
FJ882538.1	2006	0.03287	0	0	
JQ287663.1	2007	0.04187	0	0	
FJ410262.1	2008	0.03378	0	0	
GU131778.1	2008	0.03701	0	0	
EU482820.1	2006	0.03287	2	0	
GU131765.1	2008	0.0341	2	0	
FJ461308.1	2008	0.03397	2	0	
EU677152.1	2007	0.03322	0	0	
GU131758.1	2008	0.03462	0	0	
GU131740.1	2008	0.03462	0	0	
GU131759.1	2008	0.03408	0	0	
GU131784.1	2008	0.03477	2	0	
EU482528.1	2006	0.03103	2	0	
FJ898375.1	2007	0.03215	0	0	
EU249493.1	2006	0.03187	0	0	
FJ882539.1	2006	0.03261	2	0	
FJ882540.1	2006	0.03261	2	0	
GQ199773.1	2007	0.03345	0	0	
EU482803.1	2006	0.03297	0	0	
FJ410249.1	2008	0.03417	0	0	
FJ410244.1	2008	0.03435	0	0	
EU482797.1	2006	0.03296	0	0	
GQ868606.1	2006	0.0326	0	0	
FJ882552.1	2007	0.03425	2	0	
GQ199788.1	2007	0.0348	2	0	
FJ432730.1	2007	0.0348	2	0	
EU677160.1	2007	0.03508	2	0	
GQ199797.1	2007	0.03535	2	0	
FJ882558.1	2007	0.0359	2	0	
GU131700.1	2008	0.03645	2	0	
GU131780.1	2008	0.037	2	0	
GU131799.1	2008	0.037	2	0	
EU482800.1	2006	0.03214	0	0	
FJ410207.1	2007	0.0339	0	0	
EU482816.1	2006	0.03288	2	0	
EU482808.1	2006	0.03287	0	0	
FJ898387.1	2005	0.03297	0	0	
EU482505.1	2007	0.03482	0	0	
GQ868608.1	2007	0.0359	0	0	
GU131679.1	2008	0.03645	0	0	
FJ410243.1	2008	0.03682	0	0	
GQ199816.1	2007	0.03599	0	0	
GQ199808.1	2007	0.03654	0	0	
FJ432739.1	2007	0.03709	0	0	
FJ432744.1	2007	0.03709	0	0	
GQ199854.1	2006	0.03452	0	0	
KF921936.1	2006	0.03507	0	0	
EU482813.1	2006	0.03562	0	0	
FJ882517.1	2006	0.03571	0	0	
GQ199842.1	2006	0.03397	0	0	
GQ199841.1	2006	0.03342	0	0	
EU249490.1	2006	0.03398	0	0	
EU482795.1	2006	0.03453	0	0	
EU482802.1	2006	0.03453	0	0	
EU482815.1	2006	0.03471	0	0	
GQ199821.1	2007	0.0348	2	0	
GU131821.1	2008	0.03552	0	0	
JN093516.1	2008	0.03552	2	0	
GU131818.1	2008	0.0363	2	0	
FJ859029.1	2007	0.03557	0	0	
FJ410191.1	2008	0.03725	0	0	
GQ199789.1	2007	0.03574	0	0	
EU482533.1	2006	0.03177	0	0	
FJ410240.1	2008	0.03324	0	0	
FJ410235.1	2008	0.03465	2	0	
EU482807.1	2006	0.03067	2	0	
GQ199856.1	2006	0.03122	2	0	
FJ882525.1	2006	0.03122	2	0	
GQ199824.1	2007	0.03142	2	0	
HM631850.1	2008	0.03325	2	0	
FJ432735.1	2007	0.03243	2	0	
FJ461312.1	2007	0.03243	2	0	
FJ898431.1	2006	0.03185	2	0	
EU677164.1	2007	0.03295	2	0	
EU482712.1	2007	0.03295	2	0	
EU726781.1	2007	0.03295	2	0	
FJ410199.1	2007	0.03323	2	0	
FJ898388.1	2005	0.02847	0	0	
FJ898403.1	2006	0.02957	0	0	
GQ199780.1	2007	0.03027	0	0	
FJ898430.1	2006	0.03177	2	0	
GQ199853.1	2006	0.03177	2	0	
GQ199847.1	2006	0.03177	0	0	
FJ898422.1	2006	0.03232	0	0	
GQ868613.1	2006	0.03287	0	0	
FJ898419.1	2006	0.03287	0	0	
GU131688.1	2008	0.03291	0	0	
GU131698.1	2008	0.03346	0	0	
GU131809.1	2008	0.03348	0	0	
KF921944.1	2008	0.03401	0	0	
GU131805.1	2008	0.03691	0	0	
GU131796.1	2008	0.03456	0	0	
GU131717.1	2008	0.03358	2	0	
JF937615.1	2008	0.03347	0	0	
GU131734.1	2008	0.03349	0	0	
KF921934.1	2006	0.03208	0	0	
FJ898411.1	2006	0.03232	0	0	
GQ199851.1	2006	0.03232	0	0	
FJ898417.1	2006	0.03287	0	0	
FJ882526.1	2006	0.03287	0	0	
FJ898397.1	2006	0.03031	0	0	
FJ898401.1	2006	0.03012	0	0	
FJ882521.1	2006	0.03049	0	0	
FJ906965.1	2007	0.03157	2	0	
EU482527.1	2006	0.03159	0	0	
EU482819.1	2006	0.03159	2	0	
FJ410273.1	2008	0.02914	2	0	
FJ410268.1	2008	0.02969	2	0	
FJ410248.1	2008	0.03024	2	0	
HM181961.1	2008	0.03027	2	0	
EU482477.1	2007	0.02922	0	0	
GQ199798.1	2007	0.02977	0	0	
GQ199801.1	2007	0.03032	0	0	
FJ410253.1	2007	0.03087	0	0	
FJ562101.1	2007	0.03087	0	0	
FJ410216.1	2007	0.03087	0	0	
FJ205882.1	2007	0.02978	2	0	
FJ024436.1	2007	0.02978	2	0	
FJ182034.1	2007	0.02932	2	0	
EU482790.1	2003	0.02554	2	0	
FJ882551.1	2007	0.02994	2	0	
FJ882555.1	2007	0.0304	0	0	
HM181963.1	2008	0.03158	2	0	
GU131811.1	2008	0.03218	2	0	
GU131684.1	2008	0.03022	0	0	
KF921939.1	2008	0.03132	0	0	
GU131730.1	2008	0.03162	2	0	
GU131786.1	2008	0.03153	0	0	
GU131767.1	2008	0.03132	0	0	
JQ045635.1	2011	0.03313	0	2	
JQ045636.1	2011	0.03313	0	0	
GU131794.1	2008	0.03067	0	0	
GU131756.1	2008	0.02973	0	0	
EU482534.1	2006	0.02952	0	0	
EU482798.1	2006	0.02952	0	0	
EU660392.1	2006	0.02952	0	0	
EU482793.1	2006	0.02952	0	0	
JF937602.1	2008	0.03048	0	0	
FJ432746.1	2007	0.03163	2	0	
GQ199811.1	2007	0.03089	0	0	
EU482810.1	2006	0.02965	0	0	
EU249492.1	2006	0.02956	2	0	
EU482809.1	2006	0.03029	2	0	
FJ461339.1	2008	0.03168	2	0	
FJ898377.1	2007	0.03176	2	0	
EU482488.1	2007	0.03111	2	0	
GU131689.1	2008	0.03109	2	0	
EU482828.1	2006	0.03149	0	0	
EU482538.1	2006	0.03149	0	0	
FJ898413.1	2006	0.03075	2	0	
FJ898378.1	2007	0.03204	2	0	
GQ199799.1	2007	0.03259	2	0	
FJ410238.1	2008	0.03305	2	0	
EU482826.1	2006	0.03194	2	0	
EU482536.1	2006	0.03194	2	0	
FJ882532.1	2006	0.03194	2	0	
FJ898384.1	2007	0.03166	2	0	
EU482484.1	2007	0.03131	0	0	
GQ199817.1	2007	0.03249	2	0	
GQ199820.1	2007	0.03249	2	0	
JF937599.1	2006	0.04547	2	0	
FJ898410.1	2006	0.02986	2	0	
GQ199845.1	2006	0.02976	2	0	
EU687247.1	2006	0.03041	2	0	
FJ898398.1	2006	0.03022	2	0	
EU660402.1	2006	0.03087	0	0	
EU482480.1	2006	0.03114	0	0	
EU482706.1	2006	0.03114	0	0	
EU482714.1	2007	0.03169	0	0	
EU482491.1	2007	0.03169	0	0	
FJ639678.1	2003	0.03414	0	0	
GQ868637.1	2000	0.03021	0	0	
FJ850069.1	2003	0.03332	0	0	
KF955406.1	2001	0.03205	0	39	
FJ639676.1	2003	0.03271	0	0	
JQ287664.1	2004	0.04909	0	0	
JF937598.1	2006	0.04774	0	0	
KF955405.1	2002	0.03716	23	88	
FJ182033.1	2007	0.0366	0	0	
EU482495.1	2007	0.0365	0	0	
FJ373297.1	2007	0.0376	0	0	
EU677176.1	2007	0.03815	0	0	
EU482486.1	2007	0.03815	0	0	
EU660395.1	2007	0.03705	0	0	
FJ898407.1	2006	0.03622	0	0	
FJ882541.1	2006	0.03742	0	0	
EU677151.1	2007	0.0375	0	0	
EU677169.1	2007	0.0375	0	0	
GQ199843.1	2006	0.0376	0	0	
FJ898429.1	2006	0.03806	0	0	
FJ898424.1	2006	0.03861	0	0	
FJ882520.1	2006	0.03862	0	0	
GQ199785.1	2007	0.03741	0	0	
FJ882549.1	2007	0.03796	0	0	
FJ410231.1	2007	0.03815	0	0	
FJ461318.1	2007	0.03741	0	0	
JF937649.1	2007	0.03763	0	0	
EU482510.1	2007	0.03663	0	0	
FJ882537.1	2006	0.03689	0	0	
GQ199775.1	2007	0.038	0	0	
GQ199774.1	2007	0.03781	0	0	
FJ898423.1	2006	0.0369	0	0	
FJ898373.1	2007	0.03713	0	0	
FJ639673.1	2001	0.03196	0	0	
JN819423.1	2001	0.03402	0	0	
FJ639671.1	2001	0.03215	0	0	
FJ196847.1	1997	0.0571	0	0	
M87512.1	1992	0.05248	0	0	
AY732475.1	1994	0.03681	0	0	
AY732480.1	1994	0.03599	0	0	
JN638343.1	1992	0.03602	0	0	
AY376737.1	2003	0.04379	0	0	
JN638339.1	1995	0.03843	0	0	
JN638340.1	1997	0.03944	0	0	
AY732481.1	1982	0.0464	0	0	
AY732483.1	1981	0.04534	2	0	
AF350498.1	2001	0.0485	2	0	
JN638341.1	1987	0.04955	2	0	
JN638336.1	1986	0.05037	2	0	
JN638337.1	1990	0.05339	2	0	
JN638344.1	1995	0.05778	0	0	
JN638338.1	1992	0.05603	2	0	
AY732477.1	1991	0.05423	0	0	
AY732478.1	1991	0.05553	0	0	
AB608788.1	1994	0.05411	0	0	
AF298808.1	2000	0.05939	2	0	
KJ649286.1	2011	0.06284	0	0	
JN638342.1	1990	0.05293	0	0	
AY726555.1	2004	0.05928	0	0	
AY726550.1	2004	0.05811	2	0	
AY713475.1	2004	0.06045	0	0	
AY726552.1	2004	0.05897	0	0	
AY713474.1	2004	0.05907	2	0	
AB074760.1	2001	0.06541	0	0	
KM204119.1	1944	0.06181	2	3	
EU848545.1	1944	0.06519	0	0	
KU094071.1	2015	0.06674	0	0	
KR919820.1	2014	0.2877	6	0	
FJ882572.1	1989	0.54745	3	0	
GQ199889.1	1983	0.54953	3	0	
GQ199887.1	1983	0.54411	3	0	
FJ882574.1	1985	0.5444	3	0	
GQ199888.1	1983	0.54303	3	0	
FJ882573.1	1993	0.55226	3	0	
KJ830751.1	2014	0.56578	3	0	
GU370053.1	2007	0.55983	3	0	
DQ675533.1	1999	0.55667	3	0	
NC_001475.2	2000	0.55638	3	0	
AY099336.1	2002	0.55638	3	0	
AY662691.1	2004	0.5577	3	0	
EU081224.1	2005	0.56219	3	0	
EU081215.1	2005	0.56219	3	0	
EU081200.1	2005	0.56219	3	0	
EU081225.1	2005	0.56219	3	0	
EU081184.1	2005	0.56219	3	0	
EU081186.1	2005	0.56219	3	0	
EU081190.1	2005	0.56164	3	0	
EU081185.1	2005	0.56109	3	0	
EU081182.1	2005	0.56219	3	0	
EU081203.1	2005	0.56219	3	0	
EU081196.1	2005	0.56219	3	0	
EU081195.1	2005	0.56219	3	0	
EU081193.1	2005	0.56164	3	0	
EU081189.1	2005	0.56219	3	0	
EU081194.1	2005	0.56219	3	0	
EU081183.1	2005	0.56164	3	0	
EU081216.1	2005	0.56278	3	0	
EU081208.1	2005	0.56329	3	0	
EU081217.1	2005	0.56384	3	0	
EU081206.1	2005	0.56439	3	0	
EU081205.1	2005	0.56439	3	0	
EU081201.1	2005	0.56219	3	0	
EU081212.1	2005	0.56274	3	0	
EU081218.1	2005	0.56329	3	0	
EU081211.1	2005	0.56384	3	0	
EU081219.1	2005	0.56384	3	0	
EU081192.1	2005	0.56274	3	0	
EU081210.1	2005	0.56338	3	0	
EU081207.1	2005	0.56384	3	0	
EU081202.1	2005	0.56384	3	0	
EU081222.1	2005	0.56173	3	0	
EU081188.1	2005	0.56219	3	0	
EU081220.1	2005	0.56274	3	0	
EU081198.1	2005	0.56329	3	0	
EU081197.1	2005	0.56329	3	0	
EU081191.1	2005	0.56219	3	0	
EU081187.1	2005	0.56274	3	0	
EU081199.1	2005	0.56274	3	0	
EU081213.1	2005	0.55999	3	0	
EU081204.1	2005	0.56054	3	0	
EU081214.1	2005	0.56109	3	0	
EU081209.1	2005	0.56109	3	0	
EU081181.1	2004	0.55889	3	0	
KX380841.1	2012	0.56667	3	0	
KF954946.1	2013	0.56908	3	0	
KF954945.1	2013	0.56963	3	0	
KF954948.1	2013	0.57018	3	0	
KF954949.1	2013	0.57018	3	0	
KF954947.1	2013	0.56853	3	0	
KX380842.1	2013	0.56798	3	0	
JF504679.1	2009	0.56502	3	0	
GU363549.1	2009	0.56615	3	0	
JN662391.1	2009	0.56615	3	0	
JQ922556.1	2005	0.56529	3	0	
KU216209.1	2013	0.5685	3	0	
KU216208.1	2013	0.5685	3	0	
JQ922557.1	2005	0.57261	3	0	
KF041257.1	2006	0.56354	3	0	
KF041254.1	2008	0.56503	3	0	
KF041258.1	2009	0.56493	3	0	
KF041256.1	2006	0.56382	3	0	
KF041255.1	2007	0.56319	3	0	
KF041259.1	2006	0.56412	3	0	
GQ466079.1	2008	0.56214	3	0	
FJ644564.1	2007	0.56103	3	0	
AY770511.2	2004	0.55885	3	0	
FJ882576.1	1994	0.55609	3	0	
GQ199886.1	1998	0.55638	3	0	
FJ898457.1	2000	0.55764	3	0	
KT726355.1	2001	0.55937	3	0	
KT726358.1	2001	0.5604	3	0	
KT726343.1	2001	0.5604	3	0	
KT726348.1	2002	0.5615	3	0	
KT726357.1	2001	0.56205	3	0	
KT726351.1	2001	0.56205	3	0	
KT726350.1	2001	0.5615	3	0	
KT726354.1	2001	0.5626	3	0	
KT726347.1	2002	0.5626	3	0	
KT726361.1	2002	0.5626	3	0	
KT726345.1	2002	0.5626	3	0	
KT726360.1	2001	0.5626	3	0	
KT726359.1	2001	0.56315	3	0	
KT726342.1	2001	0.56315	3	0	
KT726349.1	2001	0.56315	3	0	
KT726356.1	2001	0.5626	3	0	
KT726346.1	2002	0.5626	3	0	
KT726352.1	2001	0.56205	3	0	
KT726353.1	2001	0.56205	3	0	
KT726344.1	2001	0.56095	3	0	
KJ189255.1	2002	0.56038	11	48	
KJ189266.1	2004	0.56246	3	0	
KJ189262.1	2004	0.56209	3	0	
KJ189265.1	2004	0.56268	3	0	
KJ189257.1	2004	0.56213	3	0	
KJ189256.1	2002	0.56148	3	0	
KJ643590.1	2007	0.56148	3	0	
KJ189260.1	2002	0.56093	3	0	
FJ898458.1	2002	0.56121	3	0	
KJ189264.1	2004	0.56154	3	0	
KJ189263.1	2004	0.56154	3	0	
KJ189292.1	2009	0.56589	3	0	
KJ189294.1	2006	0.5639	3	0	
KJ189282.1	2007	0.56538	3	0	
KJ189287.1	2008	0.56568	3	0	
KJ189296.1	2006	0.56446	3	0	
KJ189278.1	2007	0.56615	3	0	
KJ189288.1	2008	0.56623	3	0	
KJ189301.1	2008	0.56651	3	0	
KJ189272.1	2007	0.56639	3	0	
KJ189261.1	2008	0.5661	3	0	
KJ189289.1	2008	0.56757	3	0	
KJ189300.1	2008	0.56665	3	0	
KJ189297.1	2006	0.56446	3	0	
KJ189268.1	2007	0.56558	3	0	
KJ189275.1	2007	0.56677	3	0	
KJ189274.1	2007	0.56675	3	0	
KJ189283.1	2007	0.56692	3	0	
KJ189298.1	2008	0.56747	3	0	
KJ189290.1	2008	0.56848	3	0	
KJ189291.1	2008	0.56848	3	0	
KJ189276.1	2007	0.5663	3	0	
KJ189277.1	2007	0.5663	3	0	
KJ189299.1	2005	0.56313	3	0	
KJ189271.1	2007	0.5657	3	0	
KJ189269.1	2007	0.56588	3	0	
KJ189267.1	2007	0.56588	3	0	
KJ189286.1	2008	0.5658	3	0	
KJ189281.1	2007	0.56598	3	0	
KJ189270.1	2007	0.56477	3	0	
KJ189293.1	2005	0.56478	3	0	
KJ189279.1	2007	0.56603	3	0	
KJ189273.1	2007	0.56763	3	0	
KJ189284.1	2008	0.56689	3	0	
KJ189285.1	2008	0.56613	3	0	
KJ189280.1	2007	0.56632	3	0	
KJ189295.1	2006	0.56424	3	0	
KJ189259.1	2002	0.5604	3	0	
KJ189258.1	2002	0.55985	3	0	
EU854292.1	2005	0.56173	3	0	
HQ705610.1	2009	0.56367	3	0	
JF920398.1	2009	0.56499	3	0	
JF937639.1	2010	0.56534	3	0	
KF973483.1	2011	0.56789	3	0	
KF973487.1	2011	0.56789	3	0	
KF921927.1	2010	0.5659	3	0	
KF921928.1	2010	0.56478	3	0	
FJ873812.1	2008	0.56357	3	0	
FJ898475.1	2008	0.56357	3	0	
KF921926.1	2010	0.56496	3	0	
JF937641.1	2009	0.56595	3	0	
JF937630.1	2009	0.56663	3	0	
HM756274.1	2009	0.56647	3	0	
JF920405.1	2010	0.56595	3	0	
JF920404.1	2009	0.5665	3	0	
JF937642.1	2009	0.56705	3	0	
JF920406.1	2010	0.56705	3	0	
JF937646.1	2010	0.56513	3	0	
JF937637.1	2010	0.56618	3	0	
KF973485.1	2011	0.56802	3	0	
JF937634.1	2010	0.56706	3	0	
JF920408.1	2010	0.56826	3	0	
KF921925.1	2010	0.56816	3	0	
KF921924.1	2010	0.56761	3	0	
JF937652.1	2009	0.56661	3	0	
KF921922.1	2009	0.56815	3	0	
HQ705613.1	2009	0.56889	3	0	
KF921923.1	2009	0.5687	3	0	
HQ705618.1	2009	0.56815	3	0	
JN183884.1	2009	0.56925	3	0	
KF921914.1	2009	0.5698	3	0	
HQ541804.1	2009	0.5698	3	0	
KF971711.1	2010	0.56971	18	18	
JF937621.1	2010	0.5699	3	0	
JF937640.1	2010	0.57037	3	0	
FJ850052.1	2008	0.5676	3	0	
GQ199870.1	2008	0.56853	3	0	
