Accession_no	 Seq_length	 NumberofN	 Coll_Date	 Pub_Date	 
KJ579243.1	10649	0	2012	2014	
EU482514.1	10690	0	2007	2008	
JF730052.1	10477	0	2009	2011	
EU482754.1	10668	0	2005	2008	
KF744401.1	10176	0	2000	2013	
EU482592.1	10690	0	1998	2008	
KC762681.1	10707	0	2007	2013	
HM181963.1	10449	0	2008	2010	
EU569697.1	10680	0	2007	2008	
GU131798.1	10471	0	2008	2009	
FJ410236.1	10690	0	2008	2008	
JN819412.1	10505	0	2005	2011	
NC_002640.1	10649	0	na	2000	
FJ882598.1	10606	0	1998	2009	
KU365901.1	10638	0	2015	2015	
EU081182.1	10673	0	2005	2007	
KR919821.1	10735	0	2008	2015	
FJ410208.1	10674	0	2007	2008	
KM403609.1	10714	0	2013	2014	
FJ898451.1	10678	0	2003	2009	
JF937642.1	10681	0	2009	2011	
FJ432745.1	10680	0	2007	2008	
EU854293.1	10633	0	1944	2008	
FJ687436.1	10679	0	2001	2009	
FJ882566.1	10688	0	2003	2009	
FJ410287.1	10690	0	2006	2008	
KF955471.1	10525	0	2004	2013	
FJ898377.1	10690	0	2007	2009	
GQ868552.1	10663	0	1998	2009	
KC762697.1	10653	0	2007	2013	
FJ182024.1	10675	0	2007	2008	
KF955443.1	10686	0	2007	2013	
GU131976.1	10487	0	2007	2009	
EU482725.1	10678	0	2006	2008	
KM403578.1	10714	0	2013	2014	
GQ868565.1	10690	0	2006	2009	
HM631860.1	10538	0	2009	2010	
EU596499.1	10663	0	2007	2008	
KT279761.1	10720	0	2014	2015	
FJ898457.1	10663	0	2000	2009	
FJ373299.1	10678	0	2007	2008	
AY744683.1	10707	0	na	2004	
FJ906969.1	10678	0	2009	2009	
GU131931.1	10531	0	2008	2009	
FJ639824.1	10691	0	2006	2009	
GQ199852.1	10689	0	2006	2009	
LC011945.1	10693	0	2014	2014	
KT187561.1	10714	0	2014	2015	
KM279578.1	10723	0	2012	2014	
EU081198.1	10707	0	2005	2007	
GQ199775.1	10690	0	2007	2009	
FJ882596.1	10606	0	1998	2009	
EU482682.1	10680	0	2006	2008	
HM181968.1	10476	0	2008	2010	
JQ045687.1	10665	0	na	2011	
KF955459.1	10637	0	2008	2013	
EU596487.1	10666	0	1998	2008	
FM210232.2	10685	0	2004	2008	
KC762632.1	10735	0	2007	2013	
KC692500.1	10735	0	2009	2013	
FJ024464.1	10684	0	2007	2008	
KC692510.1	10735	0	2009	2013	
FJ898470.1	10663	0	2001	2009	
KJ189292.1	10696	0	2009	2014	
KM403583.1	10714	0	2013	2014	
FJ898447.1	10663	0	2003	2009	
EU081207.1	10707	0	2005	2007	
EU482448.1	10678	0	2006	2008	
JQ045671.1	10691	0	na	2011	
EU482801.1	10690	0	2006	2008	
GU131831.1	10473	0	2008	2009	
FJ024444.1	10690	0	2006	2008	
GU131851.1	10525	0	2006	2009	
JQ915079.1	10699	0	2009	2012	
GU131872.1	10608	0	2007	2009	
HM756276.1	10539	0	2009	2010	
GQ868646.1	10678	0	2007	2009	
DI401607.1	10735	0	na	2014	
KC762656.1	10723	0	2007	2013	
HQ705616.1	10682	0	2009	2010	
GQ398299.1	10723	0	1994	2009	
KJ189283.1	10693	0	2007	2014	
GU131859.1	10525	0	2006	2009	
FM210229.1	10392	0	2003	2008	
JQ920486.1	10671	0	1996	2012	
FJ639734.1	10647	0	2003	2009	
FJ906956.1	10679	0	2005	2009	
EU482452.1	10664	0	2006	2008	
FJ410261.1	10690	0	2008	2008	
HQ235027.1	10707	0	2007	2010	
KX380834.1	10723	0	2013	2016	
EU056811.1	10713	0	1995	2007	
GQ398285.1	10723	0	1994	2009	
KF921937.1	9951	0	2006	2013	
HQ332177.1	10735	0	2006	2010	
FJ373301.1	10706	0	2007	2008	
GU131785.1	10470	0	2008	2009	
EU081245.1	10735	0	2005	2007	
GU131795.1	10404	0	2008	2009	
FM210237.2	10684	0	2003	2008	
FJ410288.1	10678	0	2007	2008	
KX380816.1	10719	0	2012	2016	
KJ596672.1	10649	0	2012	2014	
EU660394.1	10690	0	2006	2008	
JF937610.1	10444	0	2008	2011	
KM279606.1	10176	0	2010	2014	
EU482575.1	10667	0	1987	2008	
FJ850121.1	10679	0	2001	2009	
KJ189275.1	10698	0	2007	2014	
AF100467.1	10674	0	na	1998	
JQ922546.1	10663	0	1971	2012	
FM210227.1	10685	0	2002	2008	
FJ024459.1	10691	0	2007	2008	
GU131774.1	10468	0	2008	2009	
KJ579244.1	10649	0	2012	2014	
HM631855.1	10645	0	2007	2010	
FJ410253.1	10690	0	2007	2008	
FJ182018.1	10690	0	2006	2008	
FJ432724.1	10663	0	2007	2008	
KF921927.1	9558	0	2010	2013	
EU482823.1	10690	0	2006	2008	
KF973480.1	10569	0	2012	2013	
FJ639695.1	10636	0	2007	2009	
JN819411.1	10493	0	2005	2011	
FJ898476.1	10639	0	2008	2009	
EU482640.1	10676	0	2006	2008	
JF808126.1	10707	0	2003	2011	
AY376737.1	10014	0	na	2003	
EU677137.1	10661	0	2007	2008	
JX669472.1	10736	0	2000	2012	
HQ541802.1	10229	0	2009	2010	
GU131756.1	10474	0	2008	2009	
FJ873812.1	10638	0	2008	2009	
FJ390379.1	10690	0	1998	2008	
EU482479.1	10690	0	2007	2008	
FJ390371.1	10648	0	2003	2008	
EU569706.1	10678	0	1995	2008	
JX024758.1	10653	0	2010	2012	
KJ189338.1	10448	0	2008	2014	
EU932688.1	10663	0	2007	2008	
KJ755855.1	10727	0	2013	2014	
GU370051.1	10527	0	2008	2009	
EU569721.1	10678	0	2006	2008	
EF629370.1	10696	0	na	2007	
EU569699.1	10678	0	2007	2008	
JQ045629.1	10699	0	na	2011	
KJ189366.1	10453	0	2010	2014	
AF169686.1	10723	0	na	1999	
EU482614.1	10648	0	2001	2008	
KF955406.1	10687	39	2001	2013	
HM181969.1	10454	0	2008	2010	
GQ199828.1	10690	0	2007	2009	
JX669468.1	10736	0	1997	2012	
HQ891314.1	10735	0	2009	2010	
KF955438.1	9869	0	1998	2013	
FJ432735.1	10690	0	2007	2008	
FJ373296.1	10690	0	2006	2008	
KT187556.1	10723	0	2014	2015	
EU482624.1	10680	0	2007	2008	
KJ189340.1	10444	0	2008	2014	
FJ410201.1	10674	0	2007	2008	
KF955346.1	10555	1498	2007	2013	
FJ882550.1	10690	0	2007	2009	
FJ410195.1	10678	0	2007	2008	
EU482480.1	10690	0	2006	2008	
KT726345.1	10663	0	2002	2015	
JX669506.1	10708	0	2006	2012	
JX669482.1	10726	0	1995	2012	
EU482713.1	10690	0	2007	2008	
FJ410200.1	10673	0	2007	2008	
AY923865.1	10707	0	1994	2005	
FJ898378.1	10677	0	2007	2009	
KJ189336.1	10448	0	2008	2014	
FJ205871.1	10651	0	1999	2008	
EU482703.1	10678	0	2007	2008	
FJ410181.1	10671	0	1995	2008	
KF954948.1	10678	0	2013	2013	
KM403580.1	10627	0	2013	2014	
FJ882563.1	10674	0	2003	2009	
DQ181802.1	10723	0	1988	2005	
EU056812.1	10714	0	1977	2007	
GU131832.1	10460	0	2000	2009	
GQ868527.1	10683	0	2007	2009	
KC294219.1	10723	0	2010	2012	
FJ744709.1	10640	0	2008	2009	
KM279559.1	10723	0	2012	2014	
EU482740.1	10678	0	1994	2008	
GQ199877.1	10690	0	2007	2009	
KF971705.1	9810	1785	2009	2013	
GU318308.1	10500	6486	na	2009	
HQ624984.1	10539	2	2007	2010	
EU482743.1	10679	0	1989	2008	
EU677174.1	10690	0	2007	2008	
KF955507.1	10642	0	2007	2013	
HQ705625.1	10494	0	2009	2010	
FJ898386.1	10690	0	2005	2009	
FJ410286.1	10690	0	2008	2008	
EU081226.1	10735	0	2005	2007	
GQ868537.1	10684	0	2008	2009	
KF955486.1	10525	0	2001	2013	
EU081203.1	10671	0	2005	2007	
KF971711.1	10523	1802	2010	2013	
EU726775.1	10679	0	1996	2008	
KJ189261.1	10685	0	2008	2014	
EU482795.1	10690	0	2006	2008	
JQ045679.1	10691	0	na	2011	
EU677170.1	10690	0	2007	2008	
GQ868583.1	10551	0	2004	2009	
FJ461316.1	10690	0	2007	2008	
JN054256.1	10735	0	2009	2011	
FJ744713.1	10678	0	2001	2009	
GQ199798.1	10690	0	2007	2009	
KF973484.1	10578	0	2011	2013	
GQ868511.1	10680	0	2007	2009	
EU081212.1	10707	0	2005	2007	
KX380811.1	10723	0	2012	2016	
KC294217.1	10723	5	2010	2012	
KC692495.1	10735	0	2009	2013	
GQ868519.1	10684	0	2007	2009	
EU482596.1	10663	0	1998	2008	
KC425219.1	10707	0	2002	2012	
EU482572.1	10649	0	1987	2008	
EU482804.1	10690	0	2006	2008	
DQ675533.1	10707	0	1999	2006	
FJ639807.1	10648	0	2005	2009	
FJ410250.1	10688	0	2007	2008	
JF937607.1	10444	0	2008	2011	
FJ432746.1	10684	0	2007	2008	
AF514878.2	10735	0	na	2002	
FJ547062.1	10638	0	2007	2008	
EU569712.1	10677	0	1998	2008	
KJ438296.1	10735	0	2013	2014	
JF937633.1	10683	0	2010	2011	
GU131678.1	10454	0	2008	2009	
GQ199836.1	10690	0	2005	2009	
JF808121.1	10707	0	2007	2011	
FJ639741.1	10690	0	1998	2009	
EU482813.1	10690	0	2006	2008	
GU318318.1	10500	6486	na	2009	
JQ922551.1	10639	0	2005	2012	
GU131751.1	10385	0	2008	2009	
HM469967.1	10735	0	2007	2010	
KJ189313.1	10445	0	2008	2014	
KC762679.1	10723	0	2010	2013	
GU131686.1	10486	0	2008	2009	
FJ639773.1	10606	0	2001	2009	
FJ410230.1	10676	0	2008	2008	
NC_001475.2	10707	0	na	2000	
FJ410179.1	10690	0	1994	2008	
FJ639763.1	10648	0	2001	2009	
KJ189303.1	10445	0	1998	2014	
AY858043.2	10706	0	na	2004	
FJ432726.1	10678	0	2007	2008	
GQ868599.1	10668	0	1987	2009	
EU529691.1	10648	0	2001	2008	
EU482637.1	10678	0	2005	2008	
EU482613.1	10648	0	2001	2008	
AF169685.1	10723	0	na	1999	
AF100462.1	10684	0	na	1998	
EU920850.1	10613	0	2006	2008	
FJ196844.1	10735	0	2006	2008	
FJ410239.1	10690	0	2008	2008	
FJ850120.1	10679	0	2001	2009	
FJ639812.1	10640	0	2005	2009	
KJ189274.1	10695	0	2007	2014	
EU482508.1	10690	0	2007	2008	
EU569693.1	10680	0	2007	2008	
FJ461333.1	10690	0	2007	2008	
HM631865.1	10679	0	2007	2010	
KM403613.1	10714	0	2013	2014	
HM582117.1	10714	0	1974	2010	
DQ672557.1	10735	0	na	2006	
FJ205876.1	10690	0	2007	2008	
GQ398258.1	10723	0	1975	2009	
DQ401690.1	10707	0	na	2006	
GQ199792.1	10685	0	2007	2009	
FJ850062.1	10679	0	2000	2009	
FJ744726.1	10649	0	2001	2009	
KF744405.1	10176	0	1996	2013	
GQ199844.1	10690	0	2006	2009	
FJ810416.1	10649	0	2001	2009	
FJ461323.1	10676	0	2007	2008	
EU596491.1	10678	0	2007	2008	
KC762677.1	10723	0	2008	2013	
EU081241.1	10722	0	2005	2007	
KJ830751.1	10635	0	2014	2014	
EU529706.1	10668	0	2006	2008	
JQ045695.1	10665	0	na	2011	
JF920394.1	10682	0	2009	2011	
JQ045665.1	10672	0	na	2011	
EU482742.1	10678	0	1988	2008	
HM582105.1	10713	0	1972	2010	
FJ850071.1	10685	0	2000	2009	
FJ432741.1	10638	0	2007	2008	
EU081255.1	10735	0	2005	2007	
KJ189321.1	10444	0	2007	2014	
FJ205884.1	10690	0	2007	2008	
GU131730.1	10446	0	2008	2009	
FJ410226.1	10690	0	2008	2008	
LC121816.1	10685	0	2016	2016	
GU131948.1	10627	0	2001	2009	
KC762693.1	10707	0	2010	2013	
AB122020.1	10723	0	na	2003	
FJ182028.1	10690	0	2007	2008	
FJ898435.1	10679	0	2005	2009	
EU482506.1	10690	0	2007	2008	
FJ432729.1	10689	0	2007	2008	
KT187553.1	10723	0	2014	2015	
FJ182020.1	10675	0	2007	2008	
GU131972.1	10652	0	2007	2009	
GQ868572.1	10652	0	2003	2009	
JQ045628.1	10689	0	na	2011	
EU854300.1	10606	0	2007	2008	
DQ285562.1	10721	0	1993	2005	
DQ675520.1	10706	0	1998	2006	
GQ868516.1	10673	0	2007	2009	
JX669487.1	10723	0	2000	2012	
KM279532.1	10723	0	2012	2014	
GU131935.1	10637	0	2007	2009	
FJ390390.1	10679	0	2007	2008	
FJ639820.1	10650	0	2006	2009	
EU920844.1	10724	1	2006	2008	
EU081194.1	10707	0	2005	2007	
GU131915.1	10523	0	2007	2009	
EF105381.1	10722	0	1980	2006	
GQ199771.1	10684	0	2006	2009	
JQ513342.1	10604	0	2011	2012	
KM403631.1	10714	0	2013	2014	
FJ639800.1	10648	0	2004	2009	
JF937606.1	10444	0	2008	2011	
FJ024478.1	10690	0	2005	2008	
GQ868499.1	10684	0	2006	2009	
FJ562103.1	10644	0	2008	2008	
JQ920478.1	10671	0	1995	2012	
KX380799.1	10669	0	2012	2016	
KC294212.1	10723	0	2011	2012	
AY762084.1	10733	0	na	2004	
GU131921.1	10665	0	2008	2009	
KC762636.1	10735	0	2007	2013	
JN851123.1	10176	0	2004	2011	
FJ882580.1	10596	0	2007	2009	
FM210231.1	10685	0	2004	2008	
JX669491.1	10708	0	2002	2012	
JN638339.1	10735	0	1995	2011	
FJ024428.1	10690	0	2007	2008	
EU482741.1	10678	0	1994	2008	
EU677151.1	10690	0	2007	2008	
EU482474.1	10678	0	2007	2008	
AY858050.1	10516	0	na	2004	
GU131849.1	10525	0	2006	2009	
GU131738.1	10486	0	2008	2009	
KJ189296.1	10697	0	2006	2014	
EU687229.1	10678	0	2001	2008	
EU081192.1	10673	0	2005	2007	
JQ045655.1	10673	0	na	2011	
KM279562.1	10723	0	2012	2014	
EU081227.1	10735	0	2005	2007	
FJ024450.1	10690	0	2007	2008	
HQ332173.1	10649	0	2007	2010	
KX380842.1	10676	0	2013	2016	
GQ868604.1	10679	0	2005	2009	
AB189121.1	10735	0	na	2004	
EU081252.1	10735	0	2005	2007	
M84728.1	10723	0	na	1989	
LC069810.1	10623	0	2015	2015	
FJ687443.1	10679	0	2001	2009	
GU131855.1	10616	0	2006	2009	
EF629373.1	10324	0	na	2007	
EU482456.1	10648	0	2006	2008	
EU482569.1	10678	0	1987	2008	
KM279596.1	10682	0	2012	2014	
KX380838.1	10713	0	2013	2016	
GQ199799.1	10690	0	2007	2009	
KP188539.1	10416	0	2010	2014	
GU131868.1	10517	0	2007	2009	
FJ639722.1	10648	0	2002	2009	
GU131860.1	10517	0	2006	2009	
KP723473.1	10630	0	2014	2015	
GU131792.1	10457	0	2008	2009	
EU482551.1	10678	0	2006	2008	
FJ898456.1	10663	0	1995	2009	
GU131702.1	10482	0	2008	2009	
HM756279.1	10539	0	2009	2010	
KF921947.1	10153	0	2008	2013	
GU131726.1	10418	0	2008	2009	
KC762644.1	10735	0	2008	2013	
KM279602.1	10176	0	2008	2014	
FJ882515.1	10688	0	2006	2009	
HM181948.1	10670	0	2007	2010	
KM403610.1	10714	0	2013	2014	
JF937649.1	10443	0	2007	2011	
GQ398271.1	10723	0	1994	2009	
KJ579240.1	10649	0	2012	2014	
GU131718.1	10476	0	2008	2009	
EU660414.1	10678	0	2007	2008	
KF744406.1	10176	0	1995	2013	
GU131683.1	10552	0	2008	2009	
FJ882527.1	10690	0	2006	2009	
FJ882561.1	10676	0	2007	2009	
HM181952.1	10684	0	2007	2010	
EU482745.1	10678	0	1989	2008	
HQ332181.1	10735	0	2006	2010	
FJ639798.1	10648	0	2004	2009	
KJ189306.1	10445	0	2011	2014	
EU482539.1	10690	0	2006	2008	
GQ199875.1	10690	0	2004	2009	
HQ541806.1	10627	0	2009	2010	
FJ898472.1	10664	0	2003	2009	
JN851128.1	10176	0	2006	2011	
GU131784.1	10476	0	2008	2009	
GQ199869.1	10680	0	2007	2009	
JN638343.1	10735	0	1992	2011	
HQ166032.1	10538	0	2009	2010	
FJ432742.1	10671	0	2007	2008	
JX669493.1	10709	0	2005	2012	
LC011946.1	10693	0	2014	2014	
FJ390389.1	10632	0	1944	2008	
KC762694.1	10636	0	2007	2013	
GQ398269.1	10723	0	1994	2009	
KF955440.1	9873	0	2007	2013	
GU131975.1	10668	0	2007	2009	
JQ513339.1	10604	0	2011	2012	
HM582099.1	10714	0	1971	2010	
FJ410238.1	10690	0	2008	2008	
FJ196847.1	10735	0	1997	2008	
HM631863.1	10540	0	2009	2010	
EU569702.1	10679	0	2007	2008	
JF295012.1	10510	0	2007	2011	
FJ024458.1	10678	0	2007	2008	
FJ639713.1	10648	0	2007	2009	
FJ639813.1	10691	0	2005	2009	
AY732478.1	10735	0	1991	2004	
EU596490.1	10678	0	2007	2008	
KT187562.1	10714	0	2014	2015	
GQ868557.1	10668	0	2005	2009	
FJ562104.1	10688	0	2006	2008	
JX669464.1	10736	0	2010	2012	
FJ639786.1	10654	0	2003	2009	
JQ513345.1	10604	0	2011	2012	
EF105382.1	10722	0	1980	2006	
GQ398312.1	10724	0	1994	2009	
EU596484.1	10678	0	2005	2008	
JQ045684.1	10702	2	na	2011	
FJ410191.1	10674	0	2008	2008	
GQ199855.1	10688	0	2006	2009	
GU131969.1	10676	0	2007	2009	
EU482658.1	10678	0	2006	2008	
FJ882583.1	10592	0	2007	2009	
GQ868638.1	10667	0	2008	2009	
EU482484.1	10690	0	2007	2008	
KC692513.1	10735	0	2010	2013	
GQ398308.1	10724	0	1994	2009	
AY496879.2	10707	0	1997	2003	
FJ850112.1	10702	0	2004	2009	
FJ547075.1	10648	0	2000	2008	
HG316481.1	10735	0	2010	2013	
KM279541.1	10723	0	2012	2014	
KM279561.1	10723	0	2012	2014	
GQ868523.1	10675	0	2007	2009	
GU131852.1	10525	0	2006	2009	
GU131971.1	10659	0	2007	2009	
KM403596.1	10714	0	2013	2014	
KM279555.1	10723	0	2012	2014	
EU687247.1	10690	0	2006	2008	
FJ898440.1	10663	0	2003	2009	
EU482451.1	10678	0	2006	2008	
FJ024461.1	10678	0	2007	2008	
EU081238.1	10735	0	2005	2007	
EU920833.1	10649	0	2000	2008	
GU131731.1	10660	0	2008	2009	
AF208496.1	10722	0	na	1999	
GQ398282.1	10722	0	1994	2009	
EU482576.1	10678	0	1987	2008	
FJ898394.1	10677	0	2005	2009	
AF100460.1	10685	0	na	1998	
FJ373302.1	10652	0	2004	2008	
KJ189286.1	10697	0	2008	2014	
EU482818.1	10690	0	2006	2008	
FJ639739.1	10606	0	1998	2009	
AF514889.3	10735	0	na	2002	
GU131828.1	10676	0	2008	2009	
DI402998.1	10723	0	na	2014	
KF921924.1	10599	0	2010	2013	
FJ410202.1	10668	0	2007	2008	
KX380815.1	10722	0	2012	2016	
KF973460.1	10630	0	2011	2013	
EU920829.1	10724	1	1997	2008	
FJ024475.1	10640	0	2005	2008	
JF808125.1	10707	0	2002	2011	
KM403598.1	10646	0	2013	2014	
KF921916.1	10534	0	2009	2013	
HM631856.1	10495	0	2009	2010	
EU367962.1	10707	0	na	2007	
JF937609.1	10444	0	2008	2011	
KC762675.1	10723	0	2008	2013	
EU482584.1	10662	0	1989	2008	
EU482820.1	10690	0	2006	2008	
AF022438.1	10723	0	na	1997	
AB214880.1	10707	42	na	2005	
JF937615.1	10448	0	2008	2011	
JQ922549.1	10648	0	1996	2012	
KR024706.1	10703	0	2014	2015	
EU482827.1	10690	0	2006	2008	
HQ541805.1	10140	0	2005	2010	
JF937652.1	10477	0	2009	2011	
GU131755.1	10476	0	2008	2009	
GU131739.1	10684	0	2008	2009	
EU660409.1	10663	0	2006	2008	
KX380829.1	10722	0	2013	2016	
JX649147.1	10723	0	1995	2012	
EU081193.1	10707	0	2005	2007	
FJ639678.1	10690	0	2003	2009	
FJ639691.1	10690	0	2007	2009	
EU482617.1	10690	0	2005	2008	
KJ189323.1	10445	0	2007	2014	
EU687198.1	10675	0	2003	2008	
GU131788.1	10513	0	2008	2009	
JF808119.1	10707	0	2004	2011	
JQ922555.1	10663	0	1966	2012	
EU482568.1	10678	0	1986	2008	
FJ390376.1	10669	0	1999	2008	
EU482683.1	10680	0	2006	2008	
JF937628.1	10684	0	2010	2011	
EU003591.1	10501	0	1966	2007	
EU569705.1	10663	0	1993	2008	
HM181947.1	10473	0	2007	2010	
JN697056.1	10735	0	2005	2011	
EU482504.1	10690	0	2007	2008	
FJ410268.1	10690	0	2008	2008	
EU482758.1	10679	0	2005	2008	
JX669485.1	10723	0	1998	2012	
KF973474.1	10616	0	2012	2013	
FJ547080.1	10648	0	2001	2008	
JX669467.1	10737	0	1996	2012	
GU131982.1	10687	0	2008	2009	
FJ562100.1	10638	0	2007	2008	
KC762655.1	10723	0	2007	2013	
AB074761.1	10735	0	na	2001	
KM403633.1	10714	0	2013	2014	
EU482607.1	10679	0	2007	2008	
EU482691.1	10680	0	2006	2008	
KP188562.1	10649	0	2012	2014	
HM756278.1	10541	0	2009	2010	
KF955413.1	9308	2694	2006	2013	
GU131894.1	10663	0	2008	2009	
GQ199870.1	10652	0	2008	2009	
FM210226.1	10685	0	2002	2008	
EU081216.1	10675	0	2005	2007	
FJ882578.1	10663	0	2001	2009	
FJ898407.1	10672	0	2006	2009	
FJ461327.1	10676	0	2007	2008	
FJ205872.1	10690	0	1998	2008	
FJ744722.1	10679	0	2001	2009	
EU081259.1	10735	0	2005	2007	
EU482675.1	10678	0	2006	2008	
GQ199806.1	10689	0	2007	2009	
GU318307.1	10500	6486	na	2009	
AF289029.1	10665	0	na	2000	
JX470186.1	10723	0	2010	2012	
EU660404.1	10709	0	2007	2008	
FJ898436.1	10679	0	2004	2009	
EU529702.1	10649	0	2003	2008	
KT726340.1	10663	0	2001	2015	
FJ898417.1	10690	0	2006	2009	
KF704355.1	10176	0	1981	2013	
KP686070.1	10670	0	2014	2015	
JF937637.1	10689	0	2010	2011	
EU482762.1	10678	0	2005	2008	
FJ432739.1	10690	0	2007	2008	
KJ189359.1	10444	0	2012	2014	
GQ868512.1	10674	0	2007	2009	
AY676349.1	10707	0	na	2004	
HQ541799.1	10508	0	2010	2010	
JX669492.1	10709	0	2005	2012	
FJ898431.1	10690	0	2006	2009	
GU131803.1	10463	0	2008	2009	
EU482796.1	10690	0	2006	2008	
EU482706.1	10690	0	2006	2008	
KF954945.1	10686	0	2013	2013	
FJ410188.1	10690	0	1996	2008	
GU131950.1	10616	0	2001	2009	
EU677163.1	10690	0	2007	2008	
GQ199890.1	10679	0	2008	2009	
HQ671176.1	10681	0	2009	2010	
FJ182004.1	10648	0	2004	2008	
HQ705620.1	10681	0	2009	2010	
GQ199880.1	10590	0	1995	2009	
FJ639712.1	10643	0	2007	2009	
FJ850105.1	10678	0	2007	2009	
EU920848.1	10724	0	2006	2008	
KC692496.1	10735	0	2009	2013	
EU529699.1	10648	0	2006	2008	
GU131911.1	10524	0	2006	2009	
KP406802.1	10735	0	2005	2015	
GQ868568.1	10690	0	2007	2009	
GQ868508.1	10684	0	2007	2009	
EU920840.1	10688	0	2005	2008	
EU482583.1	10678	0	1989	2008	
GQ868594.1	10607	0	1956	2009	
HQ705617.1	10682	0	2009	2010	
FJ547069.1	10648	0	1999	2008	
FJ639804.1	10648	0	2005	2009	
GU131919.1	10486	0	2008	2009	
EU687234.1	10645	0	2002	2008	
GU131954.1	10525	0	2006	2009	
FJ898419.1	10676	0	2006	2009	
JQ287667.1	10962	0	2008	2011	
KF824903.1	10707	0	2013	2013	
GU131681.1	10462	0	2008	2009	
EU677149.1	10661	0	2007	2008	
KP188547.1	10776	0	2013	2014	
